ENSMUSG00000000001	12
ENSMUSG00000000003	0
ENSMUSG00000000028	0
ENSMUSG00000000037	0
ENSMUSG00000000049	420
ENSMUSG00000000056	6
ENSMUSG00000000058	1
ENSMUSG00000000078	1
ENSMUSG00000000085	1
ENSMUSG00000000088	66
ENSMUSG00000000093	0
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	0
ENSMUSG00000000125	0
ENSMUSG00000000126	0
ENSMUSG00000000127	0
ENSMUSG00000000131	1
ENSMUSG00000000134	2
ENSMUSG00000000142	0
ENSMUSG00000000148	5
ENSMUSG00000000149	1
ENSMUSG00000000154	14
ENSMUSG00000000157	0
ENSMUSG00000000159	0
ENSMUSG00000000167	0
ENSMUSG00000000168	4
ENSMUSG00000000171	13
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	2
ENSMUSG00000000194	1
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	0
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	0
ENSMUSG00000000244	0
ENSMUSG00000000247	0
ENSMUSG00000000248	0
ENSMUSG00000000253	0
ENSMUSG00000000263	0
ENSMUSG00000000266	0
ENSMUSG00000000275	11
ENSMUSG00000000276	0
ENSMUSG00000000278	5
ENSMUSG00000000282	1
ENSMUSG00000000290	0
ENSMUSG00000000295	0
ENSMUSG00000000296	1
ENSMUSG00000000301	21
ENSMUSG00000000303	4
ENSMUSG00000000305	0
ENSMUSG00000000308	0
ENSMUSG00000000317	0
ENSMUSG00000000318	1
ENSMUSG00000000320	0
ENSMUSG00000000325	3
ENSMUSG00000000326	93
ENSMUSG00000000339	1
ENSMUSG00000000340	17
ENSMUSG00000000346	8
ENSMUSG00000000355	3
ENSMUSG00000000359	0
ENSMUSG00000000365	0
ENSMUSG00000000374	3
ENSMUSG00000000378	0
ENSMUSG00000000381	0
ENSMUSG00000000384	1
ENSMUSG00000000385	0
ENSMUSG00000000386	0
ENSMUSG00000000392	0
ENSMUSG00000000394	0
ENSMUSG00000000399	19
ENSMUSG00000000402	0
ENSMUSG00000000409	0
ENSMUSG00000000411	0
ENSMUSG00000000416	0
ENSMUSG00000000420	1
ENSMUSG00000000435	0
ENSMUSG00000000439	3
ENSMUSG00000000440	0
ENSMUSG00000000441	7
ENSMUSG00000000486	0
ENSMUSG00000000489	0
ENSMUSG00000000530	2
ENSMUSG00000000531	1
ENSMUSG00000000532	1
ENSMUSG00000000538	1
ENSMUSG00000000544	0
ENSMUSG00000000552	0
ENSMUSG00000000555	3
ENSMUSG00000000560	0
ENSMUSG00000000561	8
ENSMUSG00000000562	0
ENSMUSG00000000563	64
ENSMUSG00000000567	2
ENSMUSG00000000568	4
ENSMUSG00000000579	0
ENSMUSG00000000581	3
ENSMUSG00000000594	14
ENSMUSG00000000600	1
ENSMUSG00000000605	2
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	0
ENSMUSG00000000628	1
ENSMUSG00000000631	12
ENSMUSG00000000632	0
ENSMUSG00000000673	59
ENSMUSG00000000682	2
ENSMUSG00000000686	2
ENSMUSG00000000690	0
ENSMUSG00000000693	0
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1
ENSMUSG00000000711	7
ENSMUSG00000000724	0
ENSMUSG00000000730	0
ENSMUSG00000000731	0
ENSMUSG00000000732	0
ENSMUSG00000000738	4
ENSMUSG00000000739	6
ENSMUSG00000000740	23
ENSMUSG00000000743	4
ENSMUSG00000000751	6
ENSMUSG00000000753	66
ENSMUSG00000000759	0
ENSMUSG00000000766	0
ENSMUSG00000000776	1
ENSMUSG00000000782	0
ENSMUSG00000000787	50
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	0
ENSMUSG00000000805	0
ENSMUSG00000000811	1
ENSMUSG00000000817	0
ENSMUSG00000000823	4
ENSMUSG00000000826	5
ENSMUSG00000000827	3
ENSMUSG00000000838	1
ENSMUSG00000000861	0
ENSMUSG00000000869	0
ENSMUSG00000000876	12
ENSMUSG00000000881	1
ENSMUSG00000000884	1
ENSMUSG00000000889	0
ENSMUSG00000000901	0
ENSMUSG00000000902	5
ENSMUSG00000000903	0
ENSMUSG00000000915	6
ENSMUSG00000000916	2
ENSMUSG00000000934	6
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	0
ENSMUSG00000000957	3
ENSMUSG00000000958	0
ENSMUSG00000000959	7
ENSMUSG00000000976	0
ENSMUSG00000000982	0
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	2
ENSMUSG00000001017	3
ENSMUSG00000001018	1
ENSMUSG00000001020	0
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	0
ENSMUSG00000001027	0
ENSMUSG00000001029	1
ENSMUSG00000001034	0
ENSMUSG00000001036	0
ENSMUSG00000001039	0
ENSMUSG00000001052	1
ENSMUSG00000001053	0
ENSMUSG00000001054	0
ENSMUSG00000001056	1
ENSMUSG00000001062	1
ENSMUSG00000001065	1
ENSMUSG00000001076	0
ENSMUSG00000001082	0
